Destinazione;Codice
ABIJAN;ABJ
ABU DHABI;AUH
ABUJA;ABV
ACCRA;ACC
ADDIS ABABA;ADD
ADELAIDE (via MEL rfs);ADL
AHMEDABAD;AMD
ALGERI;ALG
AMMAN;AMM
AUCKLAND;AKL
BAGHDAD;BGW
BAHRAIN;BAH
BANGALORE;BLR
BANGKOK;BKK
BASRA;BSR
BEIJING;PEK
BEYRUT;BEY
BOGOTA';BOG
BOSTON;BOS
BRISBANE;BNE
BUENOS AIRES;EZE
CAIRO;CAI
CAPE TOWN;CPT
CASABLANCA;CMN
CEBU;CEB
CHENNAI;MAA
CHICAGO;ORD
CHRISTCHURCH;CHC
CLARK;CRK
COCHIN;COK
COLOMBO;CMB
CONAKRY;CKY
DAKAR;DSS
DALLAS;DFW
DAMMAM;DMM
DAR ES SALAM;DAR
DELHI;DEL
DENPASAR;DPS
DHAKA;DAC
DUBAI;DXB
DUBAI WORLD CENTRAL (via DXB rfs);DWC
DURBAN;DUR
ENTEBBE;EBB
ERBIL;EBL
GUANGZHOU;CAN
HANOI;HAN
HARARE;HRE
HO CHI MIN CITY ;SGN
HONG KONG;HKG
HOUSTON (via ORD);IAH
HYDERABAD;HYD
ISLAMABAD;ISB
ISTANBUL i;IST
ISTANBUL s;SAW
JAKARTA;CGK
JEDDAH;JED
JIBOUTI;JIB
JOHANNESBURG;JNB
KABUL;KBL
KARACHI;KHI
KARTOUM;KRT
KOLKATA;CCU
KUALA LUMPUR;KUL
KUWAIT;KWI
LAGOS;LOS
LAHORE;LHE
LARNACA;LCA
LILONGWE;LLW
LOS ANGELES;LAX
LUANDA;LAD
LUSAKA;LUN
MAHE';SEZ
MALE';MLE
MALTA;MLA
MANILA;MNL
MAURITIUS;MRU
MEDINA;MED
MELBOURNE;MEL
MIAMI;MIA
MOSCOW d;DME
MOSCOW s;SVO
MUMBAI;BOM
MUSCAT;MCT
NAIROBI;NBO
NEW YORK e;EWR
NEW YORK j - EK205mxpjfk;JFK
ORLANDO;MCO
OSAKA;KIX
OUAGADOUGOU;OUA
PENANG;PEN
PERTH;PER
PESHAWAR;PEW
PHNOM PENH;PNH
PUKHET;HKT
RIO DE JANEIRO;GIG
RIYADH;RUH
SAN FRANCISCO;SFO
SANTIAGO DEL CILE;SCL
SAO PAULO g;GRU
SAO PAULO v;VCP
SEATTLE;SEA
SEOUL;ICN
SHANGHAI;PVG
SHARJAH;SHJ
SIALKOT;SKT
SINGAPORE;SIN
ST.PETERBURG;LED
SYDNEY;SYD
TAIPEI;TPE
TEHRAN;IKA
TOKYO h;HND
TOKYO n;NRT
TORONTO;YYZ
TRIVANDRUM;TRV
TUNISI;TUN
WASHINGTON;IAD
YANGOON;RGN
